
 Training CONFIG_1_MNIST_CHAMP on Fashion-MNIST
Epoch 1 | Train Loss: 0.5561 | Val Acc: 0.7761
Epoch 2 | Train Loss: 0.4920 | Val Acc: 0.8061
Epoch 3 | Train Loss: 0.4654 | Val Acc: 0.8161
Epoch 4 | Train Loss: 0.4865 | Val Acc: 0.8125
Epoch 5 | Train Loss: 0.4721 | Val Acc: 0.8212
Epoch 6 | Train Loss: 0.5248 | Val Acc: 0.7990
Epoch 7 | Train Loss: 0.4449 | Val Acc: 0.8229
Epoch 8 | Train Loss: 0.4610 | Val Acc: 0.8194
Epoch 9 | Train Loss: 0.4783 | Val Acc: 0.8060
Epoch 10 | Train Loss: 0.4625 | Val Acc: 0.8166
Epoch 11 | Train Loss: 0.4416 | Val Acc: 0.8239
Epoch 12 | Train Loss: 0.5228 | Val Acc: 0.8060
Epoch 13 | Train Loss: 0.4598 | Val Acc: 0.8160
Epoch 14 | Train Loss: 0.4422 | Val Acc: 0.8187
Epoch 15 | Train Loss: 0.4556 | Val Acc: 0.8165
 Best Validation Accuracy for Config_1_MNIST_Champ: 0.8239
