
 Training CONFIG_2_DEEP_NADAM on Fashion-MNIST
Epoch 1 | Train Loss: 0.3923 | Val Acc: 0.8463
Epoch 2 | Train Loss: 0.3463 | Val Acc: 0.8607
Epoch 3 | Train Loss: 0.3201 | Val Acc: 0.8645
Epoch 4 | Train Loss: 0.2996 | Val Acc: 0.8688
Epoch 5 | Train Loss: 0.2843 | Val Acc: 0.8755
Epoch 6 | Train Loss: 0.2841 | Val Acc: 0.8681
Epoch 7 | Train Loss: 0.2645 | Val Acc: 0.8754
Epoch 8 | Train Loss: 0.2518 | Val Acc: 0.8769
Epoch 9 | Train Loss: 0.2520 | Val Acc: 0.8774
Epoch 10 | Train Loss: 0.2391 | Val Acc: 0.8800
Epoch 11 | Train Loss: 0.2393 | Val Acc: 0.8795
Epoch 12 | Train Loss: 0.2411 | Val Acc: 0.8778
Epoch 13 | Train Loss: 0.2309 | Val Acc: 0.8771
Epoch 14 | Train Loss: 0.2390 | Val Acc: 0.8742
Epoch 15 | Train Loss: 0.2316 | Val Acc: 0.8771
 Best Validation Accuracy for Config_2_Deep_Nadam: 0.8800
