
 Training CONFIG_3_HIGH_CAPACITY on Fashion-MNIST
Epoch 1 | Train Loss: 0.4357 | Val Acc: 0.8195
Epoch 2 | Train Loss: 0.3958 | Val Acc: 0.8342
Epoch 3 | Train Loss: 0.3632 | Val Acc: 0.8442
Epoch 4 | Train Loss: 0.3246 | Val Acc: 0.8580
Epoch 5 | Train Loss: 0.3094 | Val Acc: 0.8608
Epoch 6 | Train Loss: 0.3016 | Val Acc: 0.8614
Epoch 7 | Train Loss: 0.2839 | Val Acc: 0.8665
Epoch 8 | Train Loss: 0.2804 | Val Acc: 0.8681
Epoch 9 | Train Loss: 0.2619 | Val Acc: 0.8753
Epoch 10 | Train Loss: 0.2504 | Val Acc: 0.8753
Epoch 11 | Train Loss: 0.2531 | Val Acc: 0.8745
Epoch 12 | Train Loss: 0.2517 | Val Acc: 0.8727
Epoch 13 | Train Loss: 0.2246 | Val Acc: 0.8821
Epoch 14 | Train Loss: 0.2343 | Val Acc: 0.8780
Epoch 15 | Train Loss: 0.2348 | Val Acc: 0.8744
 Best Validation Accuracy for Config_3_High_Capacity: 0.8821
