
 Training CONFIG_3_DEEP_NAG on Fashion-MNIST
Epoch 1 | Train Loss: 0.9441 | Val Acc: 0.6380
Epoch 2 | Train Loss: 0.6704 | Val Acc: 0.7507
Epoch 3 | Train Loss: 0.5700 | Val Acc: 0.7912
Epoch 4 | Train Loss: 0.5136 | Val Acc: 0.8118
Epoch 5 | Train Loss: 0.4807 | Val Acc: 0.8191
Epoch 6 | Train Loss: 0.4600 | Val Acc: 0.8259
Epoch 7 | Train Loss: 0.4447 | Val Acc: 0.8312
Epoch 8 | Train Loss: 0.4312 | Val Acc: 0.8351
Epoch 9 | Train Loss: 0.4201 | Val Acc: 0.8391
Epoch 10 | Train Loss: 0.4101 | Val Acc: 0.8406
Epoch 11 | Train Loss: 0.4011 | Val Acc: 0.8454
Epoch 12 | Train Loss: 0.3925 | Val Acc: 0.8487
Epoch 13 | Train Loss: 0.3852 | Val Acc: 0.8484
Epoch 14 | Train Loss: 0.3775 | Val Acc: 0.8517
Epoch 15 | Train Loss: 0.3712 | Val Acc: 0.8532
 Best Validation Accuracy for Config_3_Deep_NAG: 0.8532
