2026-03-03 19:34:39,182 INFO    MainThread:364348 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-03 19:34:39,183 INFO    MainThread:364348 [wandb_setup.py:_flush():81] Configure stats pid to 364348
2026-03-03 19:34:39,183 INFO    MainThread:364348 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-03 19:34:39,183 INFO    MainThread:364348 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260303_193439-udizduqd/logs/debug.log
2026-03-03 19:34:39,183 INFO    MainThread:364348 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260303_193439-udizduqd/logs/debug-internal.log
2026-03-03 19:34:39,183 INFO    MainThread:364348 [wandb_init.py:init():844] calling init triggers
2026-03-03 19:34:39,183 INFO    MainThread:364348 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-03 19:34:39,183 INFO    MainThread:364348 [wandb_init.py:init():892] starting backend
2026-03-03 19:34:39,419 INFO    MainThread:364348 [wandb_init.py:init():895] sending inform_init request
2026-03-03 19:34:39,424 INFO    MainThread:364348 [wandb_init.py:init():903] backend started and connected
2026-03-03 19:34:39,446 INFO    MainThread:364348 [wandb_init.py:init():973] updated telemetry
2026-03-03 19:34:39,453 INFO    MainThread:364348 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-03 19:34:41,726 INFO    MainThread:364348 [wandb_init.py:init():1042] starting run threads in backend
2026-03-03 19:34:41,864 INFO    MainThread:364348 [wandb_run.py:_console_start():2524] atexit reg
2026-03-03 19:34:41,864 INFO    MainThread:364348 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-03 19:34:41,864 INFO    MainThread:364348 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-03 19:34:41,864 INFO    MainThread:364348 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-03 19:34:41,865 INFO    MainThread:364348 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-03 19:34:41,868 INFO    wandb-AsyncioManager-main:364348 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-03 19:34:41,868 INFO    wandb-AsyncioManager-main:364348 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
