
 Training DEEP_HIERARCHY on Fashion-MNIST
Epoch 1 | Train Loss: 0.4074 | Val Acc: 0.8324
Epoch 2 | Train Loss: 0.3608 | Val Acc: 0.8494
Epoch 3 | Train Loss: 0.3430 | Val Acc: 0.8518
Epoch 4 | Train Loss: 0.3162 | Val Acc: 0.8611
Epoch 5 | Train Loss: 0.3037 | Val Acc: 0.8643
Epoch 6 | Train Loss: 0.2995 | Val Acc: 0.8694
Epoch 7 | Train Loss: 0.2920 | Val Acc: 0.8657
Epoch 8 | Train Loss: 0.2726 | Val Acc: 0.8697
Epoch 9 | Train Loss: 0.2792 | Val Acc: 0.8706
Epoch 10 | Train Loss: 0.2669 | Val Acc: 0.8733
Epoch 11 | Train Loss: 0.2735 | Val Acc: 0.8723
Epoch 12 | Train Loss: 0.2732 | Val Acc: 0.8767
Epoch 13 | Train Loss: 0.2552 | Val Acc: 0.8742
Epoch 14 | Train Loss: 0.2533 | Val Acc: 0.8745
Epoch 15 | Train Loss: 0.2711 | Val Acc: 0.8684
 Best Validation Accuracy for Deep_Hierarchy: 0.8767
