
 Training DEEP_HIERARCHY_NAG on Fashion-MNIST
Epoch 1 | Train Loss: 0.8484 | Val Acc: 0.6776
Epoch 2 | Train Loss: 0.6325 | Val Acc: 0.7701
Epoch 3 | Train Loss: 0.5463 | Val Acc: 0.7997
Epoch 4 | Train Loss: 0.5006 | Val Acc: 0.8140
Epoch 5 | Train Loss: 0.4724 | Val Acc: 0.8227
Epoch 6 | Train Loss: 0.4525 | Val Acc: 0.8272
Epoch 7 | Train Loss: 0.4369 | Val Acc: 0.8345
Epoch 8 | Train Loss: 0.4238 | Val Acc: 0.8388
Epoch 9 | Train Loss: 0.4126 | Val Acc: 0.8410
Epoch 10 | Train Loss: 0.4026 | Val Acc: 0.8448
Epoch 11 | Train Loss: 0.3933 | Val Acc: 0.8472
Epoch 12 | Train Loss: 0.3852 | Val Acc: 0.8492
Epoch 13 | Train Loss: 0.3780 | Val Acc: 0.8508
Epoch 14 | Train Loss: 0.3709 | Val Acc: 0.8533
Epoch 15 | Train Loss: 0.3643 | Val Acc: 0.8553
 Best Validation Accuracy for Deep_Hierarchy_Nag: 0.8553
