Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [32, 128]
Loaded previous global best accuracy: 0.9791
Starting training
Epoch 1/15 - Train Loss: 0.9085, Train Acc: 0.1297 - Val Loss: 0.9079, Val Acc: 0.1170
Epoch 2/15 - Train Loss: 0.9078, Train Acc: 0.1143 - Val Loss: 0.9072, Val Acc: 0.1056
Epoch 3/15 - Train Loss: 0.9071, Train Acc: 0.1053 - Val Loss: 0.9065, Val Acc: 0.1031
Epoch 4/15 - Train Loss: 0.9065, Train Acc: 0.1045 - Val Loss: 0.9060, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 0.9060, Train Acc: 0.1044 - Val Loss: 0.9054, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 0.9055, Train Acc: 0.1044 - Val Loss: 0.9050, Val Acc: 0.1028
Epoch 7/15 - Train Loss: 0.9051, Train Acc: 0.1044 - Val Loss: 0.9045, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 0.9047, Train Acc: 0.1044 - Val Loss: 0.9041, Val Acc: 0.1028
Epoch 9/15 - Train Loss: 0.9043, Train Acc: 0.1044 - Val Loss: 0.9038, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 0.9040, Train Acc: 0.1044 - Val Loss: 0.9035, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 0.9037, Train Acc: 0.1044 - Val Loss: 0.9032, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 0.9034, Train Acc: 0.1044 - Val Loss: 0.9029, Val Acc: 0.1028
Epoch 13/15 - Train Loss: 0.9031, Train Acc: 0.1044 - Val Loss: 0.9027, Val Acc: 0.1028
Epoch 14/15 - Train Loss: 0.9029, Train Acc: 0.1044 - Val Loss: 0.9024, Val Acc: 0.1028
Epoch 15/15 - Train Loss: 0.9027, Train Acc: 0.1044 - Val Loss: 0.9022, Val Acc: 0.1028
