Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [64, 32]
Loaded previous global best accuracy: 0.9791
Starting training
Epoch 1/15 - Train Loss: 0.9012, Train Acc: 0.0993 - Val Loss: 0.9008, Val Acc: 0.1032
Epoch 2/15 - Train Loss: 0.8998, Train Acc: 0.0988 - Val Loss: 0.8996, Val Acc: 0.0886
Epoch 3/15 - Train Loss: 0.8994, Train Acc: 0.1093 - Val Loss: 0.8993, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.8992, Train Acc: 0.1124 - Val Loss: 0.8991, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.8990, Train Acc: 0.1124 - Val Loss: 0.8989, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.8988, Train Acc: 0.1124 - Val Loss: 0.8988, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.8987, Train Acc: 0.1124 - Val Loss: 0.8986, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.8985, Train Acc: 0.1124 - Val Loss: 0.8985, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.8983, Train Acc: 0.1124 - Val Loss: 0.8983, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.8982, Train Acc: 0.1124 - Val Loss: 0.8981, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.8980, Train Acc: 0.1124 - Val Loss: 0.8980, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.8978, Train Acc: 0.1124 - Val Loss: 0.8978, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.8977, Train Acc: 0.1124 - Val Loss: 0.8976, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.8975, Train Acc: 0.1124 - Val Loss: 0.8974, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.8973, Train Acc: 0.1124 - Val Loss: 0.8972, Val Acc: 0.1135
