Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [128, 32]
Loaded previous global best accuracy: 0.9791
Starting training
Epoch 1/15 - Train Loss: 1.7912, Train Acc: 0.1042 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 4/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 7/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 9/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 13/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 14/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
Epoch 15/15 - Train Loss: 1.7912, Train Acc: 0.1044 - Val Loss: 1.7944, Val Acc: 0.1028
