
 Training MNIST BASELINE on Fashion-MNIST
Epoch 1 | Train Loss: 0.4447 | Val Acc: 0.8242
Epoch 2 | Train Loss: 0.3695 | Val Acc: 0.8479
Epoch 3 | Train Loss: 0.3340 | Val Acc: 0.8584
Epoch 4 | Train Loss: 0.3072 | Val Acc: 0.8675
Epoch 5 | Train Loss: 0.2885 | Val Acc: 0.8715
Epoch 6 | Train Loss: 0.2798 | Val Acc: 0.8741
Epoch 7 | Train Loss: 0.2662 | Val Acc: 0.8773
Epoch 8 | Train Loss: 0.2557 | Val Acc: 0.8787
Epoch 9 | Train Loss: 0.2572 | Val Acc: 0.8745
Epoch 10 | Train Loss: 0.2422 | Val Acc: 0.8800
Epoch 11 | Train Loss: 0.2380 | Val Acc: 0.8811
Epoch 12 | Train Loss: 0.2382 | Val Acc: 0.8765
Epoch 13 | Train Loss: 0.2289 | Val Acc: 0.8806
Epoch 14 | Train Loss: 0.2244 | Val Acc: 0.8801
Epoch 15 | Train Loss: 0.2222 | Val Acc: 0.8775
 Best Validation Accuracy for MNIST Baseline: 0.8811
