
 Training DEEP_HIERARCHY on Fashion-MNIST
Epoch 1 | Train Loss: 0.4293 | Val Acc: 0.8215
Epoch 2 | Train Loss: 0.3614 | Val Acc: 0.8499
Epoch 3 | Train Loss: 0.3541 | Val Acc: 0.8531
Epoch 4 | Train Loss: 0.3165 | Val Acc: 0.8614
Epoch 5 | Train Loss: 0.3201 | Val Acc: 0.8605
Epoch 6 | Train Loss: 0.2996 | Val Acc: 0.8649
Epoch 7 | Train Loss: 0.2906 | Val Acc: 0.8679
Epoch 8 | Train Loss: 0.2962 | Val Acc: 0.8687
Epoch 9 | Train Loss: 0.2831 | Val Acc: 0.8697
Epoch 10 | Train Loss: 0.3016 | Val Acc: 0.8652
Epoch 11 | Train Loss: 0.2882 | Val Acc: 0.8693
Epoch 12 | Train Loss: 0.3021 | Val Acc: 0.8609
Epoch 13 | Train Loss: 0.2737 | Val Acc: 0.8708
Epoch 14 | Train Loss: 0.2891 | Val Acc: 0.8670
Epoch 15 | Train Loss: 0.2924 | Val Acc: 0.8634
 Best Validation Accuracy for Deep_Hierarchy: 0.8708
