
 Training DEEP_HIERARCHY_NAG on Fashion-MNIST
Epoch 1 | Train Loss: 0.9259 | Val Acc: 0.6539
Epoch 2 | Train Loss: 0.6718 | Val Acc: 0.7509
Epoch 3 | Train Loss: 0.5764 | Val Acc: 0.7824
Epoch 4 | Train Loss: 0.5255 | Val Acc: 0.8038
Epoch 5 | Train Loss: 0.4935 | Val Acc: 0.8136
Epoch 6 | Train Loss: 0.4716 | Val Acc: 0.8220
Epoch 7 | Train Loss: 0.4548 | Val Acc: 0.8268
Epoch 8 | Train Loss: 0.4413 | Val Acc: 0.8307
Epoch 9 | Train Loss: 0.4298 | Val Acc: 0.8344
Epoch 10 | Train Loss: 0.4193 | Val Acc: 0.8388
Epoch 11 | Train Loss: 0.4098 | Val Acc: 0.8419
Epoch 12 | Train Loss: 0.4011 | Val Acc: 0.8453
Epoch 13 | Train Loss: 0.3929 | Val Acc: 0.8478
Epoch 14 | Train Loss: 0.3852 | Val Acc: 0.8491
Epoch 15 | Train Loss: 0.3777 | Val Acc: 0.8501
 Best Validation Accuracy for Deep_Hierarchy_Nag: 0.8501
