Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [128, 32, 128, 128]
Loaded previous global best accuracy: 0.9748
Starting training
Epoch 1/15 - Train Loss: 2.3014, Train Acc: 0.1119 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3014, Train Acc: 0.1121 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3013, Train Acc: 0.1124 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3013, Train Acc: 0.1122 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3013, Train Acc: 0.1119 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3014, Train Acc: 0.1124 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.2994, Train Acc: 0.1124 - Val Loss: 2.2990, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 1.5473, Train Acc: 0.2356 - Val Loss: 1.5482, Val Acc: 0.3812
Epoch 12/15 - Train Loss: 0.5960, Train Acc: 0.6282 - Val Loss: 0.6283, Val Acc: 0.8348
Epoch 13/15 - Train Loss: 0.3317, Train Acc: 0.8874 - Val Loss: 0.3488, Val Acc: 0.9147
Epoch 14/15 - Train Loss: 0.2198, Train Acc: 0.9258 - Val Loss: 0.2497, Val Acc: 0.9354
Epoch 15/15 - Train Loss: 0.1639, Train Acc: 0.9432 - Val Loss: 0.1963, Val Acc: 0.9486
