Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [64, 32, 64, 64, 32]
Loaded previous global best accuracy: 0.9748
Starting training
Epoch 1/15 - Train Loss: 2.3033, Train Acc: 0.1064 - Val Loss: 2.3029, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3036, Train Acc: 0.1037 - Val Loss: 2.3036, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3063, Train Acc: 0.1068 - Val Loss: 2.3052, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3029, Train Acc: 0.1077 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3023, Train Acc: 0.1091 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3018, Train Acc: 0.1096 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3025, Train Acc: 0.1087 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3019, Train Acc: 0.1078 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3025, Train Acc: 0.1101 - Val Loss: 2.3025, Val Acc: 0.1010
Epoch 10/15 - Train Loss: 2.3023, Train Acc: 0.1103 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3021, Train Acc: 0.1105 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3024, Train Acc: 0.1099 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3026, Train Acc: 0.1106 - Val Loss: 2.3031, Val Acc: 0.0958
Epoch 14/15 - Train Loss: 2.3018, Train Acc: 0.1107 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3018, Train Acc: 0.1114 - Val Loss: 2.3015, Val Acc: 0.1135
