Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 32, 128, 128, 64, 64]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3168, Train Acc: 0.1037 - Val Loss: 2.3188, Val Acc: 0.0958
Epoch 2/15 - Train Loss: 2.3138, Train Acc: 0.1016 - Val Loss: 2.3140, Val Acc: 0.0980
Epoch 3/15 - Train Loss: 2.3181, Train Acc: 0.1041 - Val Loss: 2.3164, Val Acc: 0.0982
Epoch 4/15 - Train Loss: 2.3068, Train Acc: 0.1023 - Val Loss: 2.3069, Val Acc: 0.1032
Epoch 5/15 - Train Loss: 2.3138, Train Acc: 0.0994 - Val Loss: 2.3158, Val Acc: 0.0958
Epoch 6/15 - Train Loss: 2.3196, Train Acc: 0.1034 - Val Loss: 2.3207, Val Acc: 0.0974
Epoch 7/15 - Train Loss: 2.3176, Train Acc: 0.1022 - Val Loss: 2.3173, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3059, Train Acc: 0.1033 - Val Loss: 2.3051, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3075, Train Acc: 0.1021 - Val Loss: 2.3074, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3111, Train Acc: 0.1015 - Val Loss: 2.3097, Val Acc: 0.0982
Epoch 11/15 - Train Loss: 2.3119, Train Acc: 0.1031 - Val Loss: 2.3128, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3166, Train Acc: 0.1023 - Val Loss: 2.3169, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3209, Train Acc: 0.1059 - Val Loss: 2.3226, Val Acc: 0.1028
Epoch 14/15 - Train Loss: 2.3285, Train Acc: 0.1020 - Val Loss: 2.3282, Val Acc: 0.0982
Epoch 15/15 - Train Loss: 2.3041, Train Acc: 0.1029 - Val Loss: 2.3031, Val Acc: 0.1135
