Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 128, 64, 64, 64, 32]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3067, Train Acc: 0.1046 - Val Loss: 2.3070, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 2.3102, Train Acc: 0.1075 - Val Loss: 2.3110, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 2.3052, Train Acc: 0.1053 - Val Loss: 2.3053, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3050, Train Acc: 0.1066 - Val Loss: 2.3053, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3023, Train Acc: 0.1037 - Val Loss: 2.3022, Val Acc: 0.1010
Epoch 6/15 - Train Loss: 2.3035, Train Acc: 0.1049 - Val Loss: 2.3029, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3064, Train Acc: 0.1045 - Val Loss: 2.3058, Val Acc: 0.0974
Epoch 8/15 - Train Loss: 2.3053, Train Acc: 0.1043 - Val Loss: 2.3050, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3068, Train Acc: 0.1064 - Val Loss: 2.3073, Val Acc: 0.0958
Epoch 10/15 - Train Loss: 2.3055, Train Acc: 0.1043 - Val Loss: 2.3045, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3046, Train Acc: 0.1061 - Val Loss: 2.3049, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3068, Train Acc: 0.1062 - Val Loss: 2.3080, Val Acc: 0.1028
Epoch 13/15 - Train Loss: 2.3071, Train Acc: 0.1038 - Val Loss: 2.3070, Val Acc: 0.0980
Epoch 14/15 - Train Loss: 2.3036, Train Acc: 0.1052 - Val Loss: 2.3036, Val Acc: 0.1010
Epoch 15/15 - Train Loss: 2.3036, Train Acc: 0.1058 - Val Loss: 2.3035, Val Acc: 0.1028
