Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [64, 128, 128, 128, 128, 128]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3021, Train Acc: 0.1101 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3018, Train Acc: 0.1124 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3015, Train Acc: 0.1124 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3013, Train Acc: 0.1124 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3011, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3009, Train Acc: 0.1124 - Val Loss: 2.3008, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3007, Train Acc: 0.1124 - Val Loss: 2.3006, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3006, Train Acc: 0.1124 - Val Loss: 2.3005, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3004, Train Acc: 0.1124 - Val Loss: 2.3003, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3003, Train Acc: 0.1124 - Val Loss: 2.3002, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3002, Train Acc: 0.1124 - Val Loss: 2.3001, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3001, Train Acc: 0.1124 - Val Loss: 2.3000, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.2999, Train Acc: 0.1124 - Val Loss: 2.2998, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.2998, Train Acc: 0.1124 - Val Loss: 2.2997, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.2996, Train Acc: 0.1124 - Val Loss: 2.2995, Val Acc: 0.1135
