Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [64, 128, 64, 64, 32]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3132, Train Acc: 0.1059 - Val Loss: 2.3137, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 2.3044, Train Acc: 0.1064 - Val Loss: 2.3043, Val Acc: 0.1010
Epoch 3/15 - Train Loss: 2.3046, Train Acc: 0.1043 - Val Loss: 2.3044, Val Acc: 0.1009
Epoch 4/15 - Train Loss: 2.3048, Train Acc: 0.1041 - Val Loss: 2.3052, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3048, Train Acc: 0.1052 - Val Loss: 2.3052, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 2.3051, Train Acc: 0.1063 - Val Loss: 2.3058, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3092, Train Acc: 0.1076 - Val Loss: 2.3079, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3072, Train Acc: 0.1049 - Val Loss: 2.3069, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3078, Train Acc: 0.1061 - Val Loss: 2.3080, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 2.3083, Train Acc: 0.1059 - Val Loss: 2.3084, Val Acc: 0.0980
Epoch 11/15 - Train Loss: 2.3052, Train Acc: 0.1048 - Val Loss: 2.3056, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 2.3104, Train Acc: 0.1042 - Val Loss: 2.3108, Val Acc: 0.1009
Epoch 13/15 - Train Loss: 2.3070, Train Acc: 0.1049 - Val Loss: 2.3064, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3107, Train Acc: 0.1042 - Val Loss: 2.3119, Val Acc: 0.0958
Epoch 15/15 - Train Loss: 2.3043, Train Acc: 0.1033 - Val Loss: 2.3033, Val Acc: 0.1032
