Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [64, 32, 64, 32]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3025, Train Acc: 0.1084 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3029, Train Acc: 0.1076 - Val Loss: 2.3029, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 2.3041, Train Acc: 0.1066 - Val Loss: 2.3044, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3026, Train Acc: 0.1064 - Val Loss: 2.3028, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 2.3027, Train Acc: 0.1072 - Val Loss: 2.3029, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3023, Train Acc: 0.1075 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3030, Train Acc: 0.1091 - Val Loss: 2.3032, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 2.3029, Train Acc: 0.1095 - Val Loss: 2.3036, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3014, Train Acc: 0.1082 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3039, Train Acc: 0.1093 - Val Loss: 2.3047, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 2.3022, Train Acc: 0.1092 - Val Loss: 2.3018, Val Acc: 0.1032
Epoch 12/15 - Train Loss: 2.3019, Train Acc: 0.1090 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3023, Train Acc: 0.1107 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3019, Train Acc: 0.1107 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3016, Train Acc: 0.1097 - Val Loss: 2.3014, Val Acc: 0.1135
