Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [64, 128, 128, 128, 128, 128]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3034, Train Acc: 0.1037 - Val Loss: 2.3039, Val Acc: 0.1010
Epoch 2/15 - Train Loss: 2.3043, Train Acc: 0.1057 - Val Loss: 2.3039, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3034, Train Acc: 0.1063 - Val Loss: 2.3034, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3045, Train Acc: 0.1059 - Val Loss: 2.3038, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 2.3069, Train Acc: 0.1062 - Val Loss: 2.3075, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3039, Train Acc: 0.1055 - Val Loss: 2.3029, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3040, Train Acc: 0.1060 - Val Loss: 2.3039, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3034, Train Acc: 0.1052 - Val Loss: 2.3037, Val Acc: 0.0958
Epoch 9/15 - Train Loss: 2.3033, Train Acc: 0.1059 - Val Loss: 2.3028, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 2.3028, Train Acc: 0.1051 - Val Loss: 2.3033, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3050, Train Acc: 0.1047 - Val Loss: 2.3037, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3030, Train Acc: 0.1069 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3046, Train Acc: 0.1063 - Val Loss: 2.3039, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3047, Train Acc: 0.1060 - Val Loss: 2.3036, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3031, Train Acc: 0.1054 - Val Loss: 2.3033, Val Acc: 0.1135
