Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [128, 32, 64, 128, 32]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 0.9009, Train Acc: 0.1062 - Val Loss: 0.9011, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 0.9010, Train Acc: 0.1044 - Val Loss: 0.9009, Val Acc: 0.1009
Epoch 3/15 - Train Loss: 0.9011, Train Acc: 0.1056 - Val Loss: 0.9009, Val Acc: 0.1032
Epoch 4/15 - Train Loss: 0.9022, Train Acc: 0.1039 - Val Loss: 0.9022, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.9012, Train Acc: 0.1033 - Val Loss: 0.9011, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 0.9013, Train Acc: 0.1043 - Val Loss: 0.9014, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.9003, Train Acc: 0.1043 - Val Loss: 0.9003, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.9014, Train Acc: 0.1036 - Val Loss: 0.9010, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.9015, Train Acc: 0.1044 - Val Loss: 0.9016, Val Acc: 0.0982
Epoch 10/15 - Train Loss: 0.9010, Train Acc: 0.1040 - Val Loss: 0.9010, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 0.9010, Train Acc: 0.1035 - Val Loss: 0.9012, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 0.9002, Train Acc: 0.1051 - Val Loss: 0.9002, Val Acc: 0.1028
Epoch 13/15 - Train Loss: 0.9001, Train Acc: 0.1026 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9024, Train Acc: 0.1058 - Val Loss: 0.9021, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.9019, Train Acc: 0.1034 - Val Loss: 0.9016, Val Acc: 0.1009
