Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [128, 64]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3145, Train Acc: 0.0975 - Val Loss: 2.3128, Val Acc: 0.0971
Epoch 2/15 - Train Loss: 2.3030, Train Acc: 0.1116 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.2997, Train Acc: 0.1124 - Val Loss: 2.2993, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.2986, Train Acc: 0.1124 - Val Loss: 2.2984, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.2978, Train Acc: 0.1124 - Val Loss: 2.2977, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.2972, Train Acc: 0.1124 - Val Loss: 2.2972, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.2966, Train Acc: 0.1124 - Val Loss: 2.2965, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.2960, Train Acc: 0.1124 - Val Loss: 2.2959, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.2954, Train Acc: 0.1124 - Val Loss: 2.2953, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.2948, Train Acc: 0.1124 - Val Loss: 2.2947, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.2942, Train Acc: 0.1124 - Val Loss: 2.2941, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.2936, Train Acc: 0.1124 - Val Loss: 2.2935, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.2930, Train Acc: 0.1124 - Val Loss: 2.2929, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.2923, Train Acc: 0.1124 - Val Loss: 2.2922, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.2917, Train Acc: 0.1124 - Val Loss: 2.2916, Val Acc: 0.1135
