Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [64, 128, 32, 128, 32, 32]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3044, Train Acc: 0.1069 - Val Loss: 2.3044, Val Acc: 0.1010
Epoch 2/15 - Train Loss: 2.3053, Train Acc: 0.1093 - Val Loss: 2.3063, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3047, Train Acc: 0.1055 - Val Loss: 2.3039, Val Acc: 0.1028
Epoch 4/15 - Train Loss: 2.3046, Train Acc: 0.1112 - Val Loss: 2.3052, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 2.3021, Train Acc: 0.1086 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3033, Train Acc: 0.1074 - Val Loss: 2.3028, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3052, Train Acc: 0.1060 - Val Loss: 2.3048, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3036, Train Acc: 0.1065 - Val Loss: 2.3035, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3030, Train Acc: 0.1066 - Val Loss: 2.3034, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3038, Train Acc: 0.1055 - Val Loss: 2.3036, Val Acc: 0.1010
Epoch 11/15 - Train Loss: 2.3052, Train Acc: 0.1062 - Val Loss: 2.3047, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3041, Train Acc: 0.1048 - Val Loss: 2.3035, Val Acc: 0.0982
Epoch 13/15 - Train Loss: 2.3045, Train Acc: 0.1066 - Val Loss: 2.3044, Val Acc: 0.1010
Epoch 14/15 - Train Loss: 2.3035, Train Acc: 0.1072 - Val Loss: 2.3035, Val Acc: 0.1010
Epoch 15/15 - Train Loss: 2.3024, Train Acc: 0.1051 - Val Loss: 2.3026, Val Acc: 0.1028
