Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 128, 64, 64, 128, 64]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 2.3032, Train Acc: 0.1054 - Val Loss: 2.3026, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3031, Train Acc: 0.1058 - Val Loss: 2.3033, Val Acc: 0.0980
Epoch 3/15 - Train Loss: 2.3032, Train Acc: 0.1076 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3064, Train Acc: 0.1073 - Val Loss: 2.3059, Val Acc: 0.0982
Epoch 5/15 - Train Loss: 2.3033, Train Acc: 0.1080 - Val Loss: 2.3026, Val Acc: 0.1032
Epoch 6/15 - Train Loss: 2.3034, Train Acc: 0.1060 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3032, Train Acc: 0.1062 - Val Loss: 2.3033, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3035, Train Acc: 0.1093 - Val Loss: 2.3043, Val Acc: 0.0958
Epoch 9/15 - Train Loss: 2.3024, Train Acc: 0.1087 - Val Loss: 2.3028, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 2.3025, Train Acc: 0.1086 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3021, Train Acc: 0.1089 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3027, Train Acc: 0.1088 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3039, Train Acc: 0.1099 - Val Loss: 2.3043, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3019, Train Acc: 0.1106 - Val Loss: 2.3020, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3021, Train Acc: 0.1101 - Val Loss: 2.3021, Val Acc: 0.1135
