Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 128, 64, 128, 64, 128]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 0.9034, Train Acc: 0.1048 - Val Loss: 0.9033, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 0.9010, Train Acc: 0.1032 - Val Loss: 0.9012, Val Acc: 0.0958
Epoch 3/15 - Train Loss: 0.9014, Train Acc: 0.1062 - Val Loss: 0.9013, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.9014, Train Acc: 0.1078 - Val Loss: 0.9013, Val Acc: 0.1009
Epoch 5/15 - Train Loss: 0.9004, Train Acc: 0.1049 - Val Loss: 0.9004, Val Acc: 0.0980
Epoch 6/15 - Train Loss: 0.8999, Train Acc: 0.1067 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.9001, Train Acc: 0.1043 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.9000, Train Acc: 0.1057 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.8999, Train Acc: 0.1066 - Val Loss: 0.8999, Val Acc: 0.1009
Epoch 10/15 - Train Loss: 0.9003, Train Acc: 0.1087 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.8999, Train Acc: 0.1075 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.8999, Train Acc: 0.1075 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.9000, Train Acc: 0.1093 - Val Loss: 0.9000, Val Acc: 0.1028
Epoch 14/15 - Train Loss: 0.8999, Train Acc: 0.1097 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.9000, Train Acc: 0.1097 - Val Loss: 0.8998, Val Acc: 0.1135
