Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [64, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.8998, Train Acc: 0.1022 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 0.8996, Train Acc: 0.1112 - Val Loss: 0.8996, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 0.8993, Train Acc: 0.1124 - Val Loss: 0.8993, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.8991, Train Acc: 0.1124 - Val Loss: 0.8990, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.8988, Train Acc: 0.1127 - Val Loss: 0.8987, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.8985, Train Acc: 0.1124 - Val Loss: 0.8985, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.8983, Train Acc: 0.1124 - Val Loss: 0.8982, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.8980, Train Acc: 0.1130 - Val Loss: 0.8979, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.8977, Train Acc: 0.1143 - Val Loss: 0.8975, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.8973, Train Acc: 0.1124 - Val Loss: 0.8972, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.8969, Train Acc: 0.1124 - Val Loss: 0.8968, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.8965, Train Acc: 0.1125 - Val Loss: 0.8963, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.8960, Train Acc: 0.1150 - Val Loss: 0.8959, Val Acc: 0.1689
Epoch 14/15 - Train Loss: 0.8955, Train Acc: 0.1206 - Val Loss: 0.8953, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.8949, Train Acc: 0.1214 - Val Loss: 0.8947, Val Acc: 0.1162
