Loading mnist dataset
Initializing Neural Network with 1 hidden layers and hidden sizes [128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.2998, Train Acc: 0.1112 - Val Loss: 2.2997, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.2986, Train Acc: 0.1124 - Val Loss: 2.2984, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.2973, Train Acc: 0.1124 - Val Loss: 2.2972, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.2959, Train Acc: 0.1124 - Val Loss: 2.2957, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.2943, Train Acc: 0.1124 - Val Loss: 2.2941, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.2926, Train Acc: 0.1124 - Val Loss: 2.2924, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.2907, Train Acc: 0.1124 - Val Loss: 2.2904, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.2885, Train Acc: 0.1124 - Val Loss: 2.2882, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.2860, Train Acc: 0.1124 - Val Loss: 2.2857, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.2831, Train Acc: 0.1159 - Val Loss: 2.2828, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.2797, Train Acc: 0.1152 - Val Loss: 2.2792, Val Acc: 0.1160
Epoch 12/15 - Train Loss: 2.2757, Train Acc: 0.1292 - Val Loss: 2.2751, Val Acc: 0.1283
Epoch 13/15 - Train Loss: 2.2711, Train Acc: 0.1495 - Val Loss: 2.2705, Val Acc: 0.1485
Epoch 14/15 - Train Loss: 2.2657, Train Acc: 0.1646 - Val Loss: 2.2650, Val Acc: 0.1951
Epoch 15/15 - Train Loss: 2.2594, Train Acc: 0.2039 - Val Loss: 2.2586, Val Acc: 0.2125
