Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [32, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3034, Train Acc: 0.1075 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3028, Train Acc: 0.1090 - Val Loss: 2.3025, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 2.3020, Train Acc: 0.1094 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3036, Train Acc: 0.1081 - Val Loss: 2.3025, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3022, Train Acc: 0.1077 - Val Loss: 2.3023, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 2.3030, Train Acc: 0.1082 - Val Loss: 2.3034, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3021, Train Acc: 0.1081 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3018, Train Acc: 0.1086 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3016, Train Acc: 0.1093 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3021, Train Acc: 0.1087 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3028, Train Acc: 0.1084 - Val Loss: 2.3029, Val Acc: 0.0982
Epoch 12/15 - Train Loss: 2.3023, Train Acc: 0.1097 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3011, Train Acc: 0.1096 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3010, Train Acc: 0.1106 - Val Loss: 2.3005, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3023, Train Acc: 0.1124 - Val Loss: 2.3018, Val Acc: 0.1010
