Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [32, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 1.8027, Train Acc: 0.1006 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 2/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 3/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 4/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 5/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 6/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 7/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 8/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 9/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 10/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 11/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 12/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 13/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 14/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 15/15 - Train Loss: 1.8027, Train Acc: 0.0986 - Val Loss: 1.8084, Val Acc: 0.0958
