Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 64, 32, 128, 64, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3063, Train Acc: 0.1015 - Val Loss: 2.3063, Val Acc: 0.1010
Epoch 2/15 - Train Loss: 2.3037, Train Acc: 0.1076 - Val Loss: 2.3032, Val Acc: 0.1009
Epoch 3/15 - Train Loss: 2.3047, Train Acc: 0.1045 - Val Loss: 2.3049, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3067, Train Acc: 0.1069 - Val Loss: 2.3065, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 2.3063, Train Acc: 0.1072 - Val Loss: 2.3066, Val Acc: 0.0958
Epoch 6/15 - Train Loss: 2.3035, Train Acc: 0.1069 - Val Loss: 2.3033, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3019, Train Acc: 0.1070 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3046, Train Acc: 0.1068 - Val Loss: 2.3036, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3015, Train Acc: 0.1057 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3035, Train Acc: 0.1063 - Val Loss: 2.3041, Val Acc: 0.1010
Epoch 11/15 - Train Loss: 2.3050, Train Acc: 0.1085 - Val Loss: 2.3037, Val Acc: 0.1009
Epoch 12/15 - Train Loss: 2.3043, Train Acc: 0.1071 - Val Loss: 2.3041, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3024, Train Acc: 0.1056 - Val Loss: 2.3025, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3031, Train Acc: 0.1066 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3046, Train Acc: 0.1085 - Val Loss: 2.3045, Val Acc: 0.1009
