Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [32, 128, 128, 128, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3030, Train Acc: 0.1066 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3021, Train Acc: 0.1091 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3023, Train Acc: 0.1093 - Val Loss: 2.3021, Val Acc: 0.1028
Epoch 4/15 - Train Loss: 2.3039, Train Acc: 0.1099 - Val Loss: 2.3040, Val Acc: 0.0974
Epoch 5/15 - Train Loss: 2.3018, Train Acc: 0.1083 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3018, Train Acc: 0.1090 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3021, Train Acc: 0.1100 - Val Loss: 2.3022, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 2.3024, Train Acc: 0.1118 - Val Loss: 2.3023, Val Acc: 0.0958
Epoch 9/15 - Train Loss: 2.3018, Train Acc: 0.1112 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3016, Train Acc: 0.1111 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3026, Train Acc: 0.1109 - Val Loss: 2.3023, Val Acc: 0.1032
Epoch 12/15 - Train Loss: 2.3016, Train Acc: 0.1100 - Val Loss: 2.3016, Val Acc: 0.1028
Epoch 13/15 - Train Loss: 2.3017, Train Acc: 0.1106 - Val Loss: 2.3016, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3016, Train Acc: 0.1113 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3013, Train Acc: 0.1105 - Val Loss: 2.3013, Val Acc: 0.1135
