Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [32, 128, 128, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9002, Train Acc: 0.1073 - Val Loss: 0.9000, Val Acc: 0.1032
Epoch 2/15 - Train Loss: 0.9000, Train Acc: 0.1068 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 0.9003, Train Acc: 0.1088 - Val Loss: 0.9004, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.9000, Train Acc: 0.1072 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.9002, Train Acc: 0.1070 - Val Loss: 0.9003, Val Acc: 0.0980
Epoch 6/15 - Train Loss: 0.9001, Train Acc: 0.1068 - Val Loss: 0.9001, Val Acc: 0.1028
Epoch 7/15 - Train Loss: 0.9002, Train Acc: 0.1078 - Val Loss: 0.9001, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 0.9000, Train Acc: 0.1102 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.9000, Train Acc: 0.1086 - Val Loss: 0.9000, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 0.9000, Train Acc: 0.1088 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.8998, Train Acc: 0.1078 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.9002, Train Acc: 0.1087 - Val Loss: 0.9002, Val Acc: 0.0974
Epoch 13/15 - Train Loss: 0.9001, Train Acc: 0.1060 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9001, Train Acc: 0.1066 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.9003, Train Acc: 0.1079 - Val Loss: 0.9000, Val Acc: 0.1135
