Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [64, 64, 64, 128, 32, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 1.7610, Train Acc: 0.0988 - Val Loss: 1.7533, Val Acc: 0.1032
Epoch 2/15 - Train Loss: 1.2177, Train Acc: 0.0980 - Val Loss: 1.2211, Val Acc: 0.0958
Epoch 3/15 - Train Loss: 1.3186, Train Acc: 0.1030 - Val Loss: 1.3176, Val Acc: 0.0892
Epoch 4/15 - Train Loss: 1.0029, Train Acc: 0.1006 - Val Loss: 1.0044, Val Acc: 0.0958
Epoch 5/15 - Train Loss: 1.1175, Train Acc: 0.1009 - Val Loss: 1.1184, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 1.6222, Train Acc: 0.1014 - Val Loss: 1.6274, Val Acc: 0.0958
Epoch 7/15 - Train Loss: 1.4844, Train Acc: 0.1006 - Val Loss: 1.4827, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 1.0910, Train Acc: 0.0999 - Val Loss: 1.0925, Val Acc: 0.0958
Epoch 9/15 - Train Loss: 1.0426, Train Acc: 0.1016 - Val Loss: 1.0447, Val Acc: 0.0958
Epoch 10/15 - Train Loss: 1.6485, Train Acc: 0.0996 - Val Loss: 1.6507, Val Acc: 0.0892
Epoch 11/15 - Train Loss: 1.4308, Train Acc: 0.1012 - Val Loss: 1.4315, Val Acc: 0.0974
Epoch 12/15 - Train Loss: 1.0708, Train Acc: 0.1018 - Val Loss: 1.0733, Val Acc: 0.0958
Epoch 13/15 - Train Loss: 1.6928, Train Acc: 0.0991 - Val Loss: 1.6949, Val Acc: 0.0892
Epoch 14/15 - Train Loss: 1.2637, Train Acc: 0.0965 - Val Loss: 1.2679, Val Acc: 0.0958
Epoch 15/15 - Train Loss: 1.0047, Train Acc: 0.0998 - Val Loss: 1.0061, Val Acc: 0.0974
