Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [64, 32, 64, 64, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9000, Train Acc: 0.1051 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 0.9008, Train Acc: 0.1056 - Val Loss: 0.9008, Val Acc: 0.1010
Epoch 3/15 - Train Loss: 0.9007, Train Acc: 0.1049 - Val Loss: 0.9005, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.9002, Train Acc: 0.1065 - Val Loss: 0.9003, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.9003, Train Acc: 0.1049 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.9004, Train Acc: 0.1055 - Val Loss: 0.9004, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.9004, Train Acc: 0.1046 - Val Loss: 0.9005, Val Acc: 0.0974
Epoch 8/15 - Train Loss: 0.9002, Train Acc: 0.1045 - Val Loss: 0.9002, Val Acc: 0.1010
Epoch 9/15 - Train Loss: 0.9008, Train Acc: 0.1042 - Val Loss: 0.9008, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.9010, Train Acc: 0.1057 - Val Loss: 0.9009, Val Acc: 0.1009
Epoch 11/15 - Train Loss: 0.9017, Train Acc: 0.1083 - Val Loss: 0.9018, Val Acc: 0.0980
Epoch 12/15 - Train Loss: 0.9004, Train Acc: 0.1059 - Val Loss: 0.9003, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.9008, Train Acc: 0.1056 - Val Loss: 0.9008, Val Acc: 0.0974
Epoch 14/15 - Train Loss: 0.9007, Train Acc: 0.1051 - Val Loss: 0.9007, Val Acc: 0.0974
Epoch 15/15 - Train Loss: 0.9012, Train Acc: 0.1040 - Val Loss: 0.9010, Val Acc: 0.1032
