Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 128, 128, 32, 32, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 1.7956, Train Acc: 0.1006 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 2/15 - Train Loss: 1.8014, Train Acc: 0.0999 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 3/15 - Train Loss: 1.8026, Train Acc: 0.0984 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 4/15 - Train Loss: 1.7956, Train Acc: 0.0997 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 5/15 - Train Loss: 1.8014, Train Acc: 0.1014 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 6/15 - Train Loss: 1.7956, Train Acc: 0.0993 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 7/15 - Train Loss: 1.7956, Train Acc: 0.0994 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 8/15 - Train Loss: 1.8026, Train Acc: 0.1007 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 9/15 - Train Loss: 1.8026, Train Acc: 0.0999 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 10/15 - Train Loss: 1.7956, Train Acc: 0.0983 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 11/15 - Train Loss: 1.8026, Train Acc: 0.0997 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 12/15 - Train Loss: 1.7956, Train Acc: 0.0998 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 13/15 - Train Loss: 1.7956, Train Acc: 0.0994 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 14/15 - Train Loss: 1.8026, Train Acc: 0.1008 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 15/15 - Train Loss: 1.7956, Train Acc: 0.1006 - Val Loss: 1.7980, Val Acc: 0.1010
