Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [32, 64, 64, 64, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3088, Train Acc: 0.1032 - Val Loss: 2.3088, Val Acc: 0.0980
Epoch 2/15 - Train Loss: 2.3028, Train Acc: 0.1062 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3023, Train Acc: 0.1063 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3021, Train Acc: 0.1064 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3030, Train Acc: 0.1083 - Val Loss: 2.3029, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3024, Train Acc: 0.1076 - Val Loss: 2.3020, Val Acc: 0.1010
Epoch 7/15 - Train Loss: 2.3018, Train Acc: 0.1099 - Val Loss: 2.3020, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 2.3017, Train Acc: 0.1089 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3018, Train Acc: 0.1075 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3029, Train Acc: 0.1100 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3020, Train Acc: 0.1114 - Val Loss: 2.3019, Val Acc: 0.1010
Epoch 12/15 - Train Loss: 2.3018, Train Acc: 0.1100 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3023, Train Acc: 0.1094 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3032, Train Acc: 0.1098 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3023, Train Acc: 0.1091 - Val Loss: 2.3018, Val Acc: 0.1032
