Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [32, 128, 64, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9063, Train Acc: 0.1037 - Val Loss: 0.9059, Val Acc: 0.1032
Epoch 2/15 - Train Loss: 0.9002, Train Acc: 0.1029 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 0.9002, Train Acc: 0.1045 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.9001, Train Acc: 0.1043 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.9003, Train Acc: 0.1040 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.9007, Train Acc: 0.1068 - Val Loss: 0.9008, Val Acc: 0.0974
Epoch 7/15 - Train Loss: 0.9002, Train Acc: 0.1079 - Val Loss: 0.9002, Val Acc: 0.0980
Epoch 8/15 - Train Loss: 0.9005, Train Acc: 0.1069 - Val Loss: 0.9006, Val Acc: 0.0958
Epoch 9/15 - Train Loss: 0.9002, Train Acc: 0.1078 - Val Loss: 0.9003, Val Acc: 0.0980
Epoch 10/15 - Train Loss: 0.9000, Train Acc: 0.1080 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.9002, Train Acc: 0.1097 - Val Loss: 0.9003, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.8999, Train Acc: 0.1106 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.8998, Train Acc: 0.1091 - Val Loss: 0.8997, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.8997, Train Acc: 0.1112 - Val Loss: 0.8997, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.8999, Train Acc: 0.1103 - Val Loss: 0.8999, Val Acc: 0.1135
