Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [32, 32, 32, 64, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3156, Train Acc: 0.1036 - Val Loss: 2.3158, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3271, Train Acc: 0.1021 - Val Loss: 2.3280, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3182, Train Acc: 0.1021 - Val Loss: 2.3189, Val Acc: 0.0892
Epoch 4/15 - Train Loss: 2.3081, Train Acc: 0.1029 - Val Loss: 2.3078, Val Acc: 0.1009
Epoch 5/15 - Train Loss: 2.3120, Train Acc: 0.1013 - Val Loss: 2.3122, Val Acc: 0.0980
Epoch 6/15 - Train Loss: 2.3189, Train Acc: 0.1045 - Val Loss: 2.3196, Val Acc: 0.1028
Epoch 7/15 - Train Loss: 2.3057, Train Acc: 0.1022 - Val Loss: 2.3045, Val Acc: 0.1009
Epoch 8/15 - Train Loss: 2.3100, Train Acc: 0.1029 - Val Loss: 2.3091, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3177, Train Acc: 0.1033 - Val Loss: 2.3195, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 2.3165, Train Acc: 0.1036 - Val Loss: 2.3164, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 2.3147, Train Acc: 0.1032 - Val Loss: 2.3146, Val Acc: 0.0974
Epoch 12/15 - Train Loss: 2.3145, Train Acc: 0.1001 - Val Loss: 2.3141, Val Acc: 0.1010
Epoch 13/15 - Train Loss: 2.3054, Train Acc: 0.1056 - Val Loss: 2.3054, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3117, Train Acc: 0.1056 - Val Loss: 2.3104, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3286, Train Acc: 0.1041 - Val Loss: 2.3285, Val Acc: 0.1009
