Loading mnist dataset
Initializing Neural Network with 1 hidden layers and hidden sizes [64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.8996, Train Acc: 0.1114 - Val Loss: 0.8995, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 0.8994, Train Acc: 0.1124 - Val Loss: 0.8994, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 0.8993, Train Acc: 0.1124 - Val Loss: 0.8992, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.8991, Train Acc: 0.1124 - Val Loss: 0.8991, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.8989, Train Acc: 0.1124 - Val Loss: 0.8989, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.8987, Train Acc: 0.1124 - Val Loss: 0.8987, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.8985, Train Acc: 0.1124 - Val Loss: 0.8985, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.8983, Train Acc: 0.1124 - Val Loss: 0.8982, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.8980, Train Acc: 0.1124 - Val Loss: 0.8979, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.8976, Train Acc: 0.1124 - Val Loss: 0.8975, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.8972, Train Acc: 0.1124 - Val Loss: 0.8971, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.8967, Train Acc: 0.1124 - Val Loss: 0.8966, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.8961, Train Acc: 0.1124 - Val Loss: 0.8960, Val Acc: 0.1140
Epoch 14/15 - Train Loss: 0.8954, Train Acc: 0.1139 - Val Loss: 0.8953, Val Acc: 0.1171
Epoch 15/15 - Train Loss: 0.8946, Train Acc: 0.1207 - Val Loss: 0.8945, Val Acc: 0.1336
