Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [128, 32, 64, 128, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3048, Train Acc: 0.1050 - Val Loss: 2.3046, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3032, Train Acc: 0.1057 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3058, Train Acc: 0.1090 - Val Loss: 2.3063, Val Acc: 0.0958
Epoch 4/15 - Train Loss: 2.3049, Train Acc: 0.1076 - Val Loss: 2.3044, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 2.3044, Train Acc: 0.1084 - Val Loss: 2.3046, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 2.3026, Train Acc: 0.1077 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3035, Train Acc: 0.1065 - Val Loss: 2.3033, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3035, Train Acc: 0.1076 - Val Loss: 2.3031, Val Acc: 0.0980
Epoch 9/15 - Train Loss: 2.3025, Train Acc: 0.1090 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3033, Train Acc: 0.1085 - Val Loss: 2.3033, Val Acc: 0.0974
Epoch 11/15 - Train Loss: 2.3022, Train Acc: 0.1105 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3042, Train Acc: 0.1093 - Val Loss: 2.3033, Val Acc: 0.1032
Epoch 13/15 - Train Loss: 2.3024, Train Acc: 0.1065 - Val Loss: 2.3031, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3034, Train Acc: 0.1068 - Val Loss: 2.3028, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3042, Train Acc: 0.1086 - Val Loss: 2.3038, Val Acc: 0.1135
