Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [64, 128, 128, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3026, Train Acc: 0.1078 - Val Loss: 2.3022, Val Acc: 0.1009
Epoch 2/15 - Train Loss: 2.3026, Train Acc: 0.1087 - Val Loss: 2.3028, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3021, Train Acc: 0.1065 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3032, Train Acc: 0.1084 - Val Loss: 2.3037, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 2.3031, Train Acc: 0.1074 - Val Loss: 2.3033, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 2.3037, Train Acc: 0.1072 - Val Loss: 2.3035, Val Acc: 0.1009
Epoch 7/15 - Train Loss: 2.3046, Train Acc: 0.1085 - Val Loss: 2.3050, Val Acc: 0.1010
Epoch 8/15 - Train Loss: 2.3052, Train Acc: 0.1090 - Val Loss: 2.3057, Val Acc: 0.0892
Epoch 9/15 - Train Loss: 2.3031, Train Acc: 0.1072 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3041, Train Acc: 0.1079 - Val Loss: 2.3035, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3034, Train Acc: 0.1078 - Val Loss: 2.3037, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 2.3042, Train Acc: 0.1080 - Val Loss: 2.3041, Val Acc: 0.0958
Epoch 13/15 - Train Loss: 2.3020, Train Acc: 0.1082 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3019, Train Acc: 0.1088 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3019, Train Acc: 0.1076 - Val Loss: 2.3017, Val Acc: 0.1028
