Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [64, 128, 32, 32, 128, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3019, Train Acc: 0.1096 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3023, Train Acc: 0.1114 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3019, Train Acc: 0.1108 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3022, Train Acc: 0.1120 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3018, Train Acc: 0.1110 - Val Loss: 2.3020, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3016, Train Acc: 0.1107 - Val Loss: 2.3016, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3027, Train Acc: 0.1110 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3019, Train Acc: 0.1105 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3026, Train Acc: 0.1102 - Val Loss: 2.3030, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3030, Train Acc: 0.1119 - Val Loss: 2.3033, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 2.3020, Train Acc: 0.1100 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3020, Train Acc: 0.1105 - Val Loss: 2.3021, Val Acc: 0.0980
Epoch 13/15 - Train Loss: 2.3017, Train Acc: 0.1104 - Val Loss: 2.3020, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3018, Train Acc: 0.1107 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3019, Train Acc: 0.1114 - Val Loss: 2.3020, Val Acc: 0.1135
