Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [64, 32, 32, 32, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3042, Train Acc: 0.1079 - Val Loss: 2.3044, Val Acc: 0.0958
Epoch 2/15 - Train Loss: 2.3030, Train Acc: 0.1071 - Val Loss: 2.3029, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 2.3031, Train Acc: 0.1066 - Val Loss: 2.3029, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3024, Train Acc: 0.1066 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3032, Train Acc: 0.1086 - Val Loss: 2.3033, Val Acc: 0.1028
Epoch 6/15 - Train Loss: 2.3027, Train Acc: 0.1079 - Val Loss: 2.3026, Val Acc: 0.0974
Epoch 7/15 - Train Loss: 2.3022, Train Acc: 0.1074 - Val Loss: 2.3016, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3027, Train Acc: 0.1083 - Val Loss: 2.3032, Val Acc: 0.1010
Epoch 9/15 - Train Loss: 2.3017, Train Acc: 0.1080 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3036, Train Acc: 0.1074 - Val Loss: 2.3031, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3024, Train Acc: 0.1081 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3055, Train Acc: 0.1100 - Val Loss: 2.3044, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3027, Train Acc: 0.1083 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3024, Train Acc: 0.1087 - Val Loss: 2.3026, Val Acc: 0.1028
Epoch 15/15 - Train Loss: 2.3041, Train Acc: 0.1088 - Val Loss: 2.3038, Val Acc: 0.1135
