Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [128, 128, 128, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 1.8025, Train Acc: 0.0984 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 2/15 - Train Loss: 1.8025, Train Acc: 0.0994 - Val Loss: 1.8082, Val Acc: 0.0958
Epoch 3/15 - Train Loss: 1.8027, Train Acc: 0.0963 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 4/15 - Train Loss: 1.8193, Train Acc: 0.0954 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 5/15 - Train Loss: 1.8027, Train Acc: 0.0947 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 6/15 - Train Loss: 1.8193, Train Acc: 0.0973 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 7/15 - Train Loss: 1.8025, Train Acc: 0.0963 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 8/15 - Train Loss: 1.8025, Train Acc: 0.0978 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 9/15 - Train Loss: 1.8193, Train Acc: 0.0959 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 10/15 - Train Loss: 1.8025, Train Acc: 0.0963 - Val Loss: 1.8039, Val Acc: 0.0980
Epoch 11/15 - Train Loss: 1.8193, Train Acc: 0.0952 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 12/15 - Train Loss: 1.8025, Train Acc: 0.0954 - Val Loss: 1.8039, Val Acc: 0.0980
Epoch 13/15 - Train Loss: 1.8025, Train Acc: 0.0965 - Val Loss: 1.8040, Val Acc: 0.0980
Epoch 14/15 - Train Loss: 1.8027, Train Acc: 0.0958 - Val Loss: 1.8084, Val Acc: 0.0958
Epoch 15/15 - Train Loss: 1.8026, Train Acc: 0.0954 - Val Loss: 1.8040, Val Acc: 0.0980
