Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 64, 64, 32, 64, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3064, Train Acc: 0.1093 - Val Loss: 2.3060, Val Acc: 0.0982
Epoch 2/15 - Train Loss: 2.3034, Train Acc: 0.1077 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3040, Train Acc: 0.1062 - Val Loss: 2.3033, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3023, Train Acc: 0.1090 - Val Loss: 2.3022, Val Acc: 0.1010
Epoch 5/15 - Train Loss: 2.3027, Train Acc: 0.1072 - Val Loss: 2.3030, Val Acc: 0.1010
Epoch 6/15 - Train Loss: 2.3041, Train Acc: 0.1066 - Val Loss: 2.3043, Val Acc: 0.0980
Epoch 7/15 - Train Loss: 2.3041, Train Acc: 0.1079 - Val Loss: 2.3043, Val Acc: 0.0974
Epoch 8/15 - Train Loss: 2.3030, Train Acc: 0.1066 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3018, Train Acc: 0.1077 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3027, Train Acc: 0.1087 - Val Loss: 2.3024, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 2.3036, Train Acc: 0.1076 - Val Loss: 2.3039, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 2.3019, Train Acc: 0.1072 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3043, Train Acc: 0.1079 - Val Loss: 2.3035, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3040, Train Acc: 0.1075 - Val Loss: 2.3042, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3037, Train Acc: 0.1074 - Val Loss: 2.3038, Val Acc: 0.1135
