Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 64, 128, 32, 64, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3022, Train Acc: 0.1096 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3021, Train Acc: 0.1075 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3039, Train Acc: 0.1089 - Val Loss: 2.3041, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3021, Train Acc: 0.1068 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3031, Train Acc: 0.1090 - Val Loss: 2.3028, Val Acc: 0.0982
Epoch 6/15 - Train Loss: 2.3030, Train Acc: 0.1083 - Val Loss: 2.3033, Val Acc: 0.1028
Epoch 7/15 - Train Loss: 2.3038, Train Acc: 0.1072 - Val Loss: 2.3029, Val Acc: 0.1032
Epoch 8/15 - Train Loss: 2.3035, Train Acc: 0.1065 - Val Loss: 2.3026, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3020, Train Acc: 0.1087 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3036, Train Acc: 0.1063 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3039, Train Acc: 0.1082 - Val Loss: 2.3041, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3041, Train Acc: 0.1082 - Val Loss: 2.3040, Val Acc: 0.0982
Epoch 13/15 - Train Loss: 2.3041, Train Acc: 0.1077 - Val Loss: 2.3040, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3026, Train Acc: 0.1081 - Val Loss: 2.3028, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3036, Train Acc: 0.1070 - Val Loss: 2.3029, Val Acc: 0.1032
