Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [64, 64, 128, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 1.7956, Train Acc: 0.1021 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 2/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 3/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 4/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 5/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 6/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 7/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 8/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 9/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 10/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 11/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 12/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 13/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 14/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
Epoch 15/15 - Train Loss: 1.7956, Train Acc: 0.1022 - Val Loss: 1.7980, Val Acc: 0.1010
