Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 32, 32, 128, 128, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3036, Train Acc: 0.1056 - Val Loss: 2.3031, Val Acc: 0.1009
Epoch 2/15 - Train Loss: 2.3047, Train Acc: 0.1061 - Val Loss: 2.3036, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3048, Train Acc: 0.1065 - Val Loss: 2.3038, Val Acc: 0.1032
Epoch 4/15 - Train Loss: 2.3077, Train Acc: 0.1047 - Val Loss: 2.3077, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 2.3107, Train Acc: 0.1059 - Val Loss: 2.3107, Val Acc: 0.1010
Epoch 6/15 - Train Loss: 2.3092, Train Acc: 0.1043 - Val Loss: 2.3075, Val Acc: 0.1009
Epoch 7/15 - Train Loss: 2.3037, Train Acc: 0.1055 - Val Loss: 2.3037, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3089, Train Acc: 0.1044 - Val Loss: 2.3097, Val Acc: 0.1010
Epoch 9/15 - Train Loss: 2.3055, Train Acc: 0.1071 - Val Loss: 2.3050, Val Acc: 0.1009
Epoch 10/15 - Train Loss: 2.3104, Train Acc: 0.1050 - Val Loss: 2.3096, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3048, Train Acc: 0.1066 - Val Loss: 2.3041, Val Acc: 0.1009
Epoch 12/15 - Train Loss: 2.3032, Train Acc: 0.1054 - Val Loss: 2.3036, Val Acc: 0.1028
Epoch 13/15 - Train Loss: 2.3114, Train Acc: 0.1039 - Val Loss: 2.3125, Val Acc: 0.1028
Epoch 14/15 - Train Loss: 2.3077, Train Acc: 0.1058 - Val Loss: 2.3078, Val Acc: 0.1028
Epoch 15/15 - Train Loss: 2.3044, Train Acc: 0.1041 - Val Loss: 2.3043, Val Acc: 0.1135
