Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [32, 128, 128, 128, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9013, Train Acc: 0.1051 - Val Loss: 0.9011, Val Acc: 0.1009
Epoch 2/15 - Train Loss: 0.9008, Train Acc: 0.1045 - Val Loss: 0.9007, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 0.9002, Train Acc: 0.1062 - Val Loss: 0.9003, Val Acc: 0.0980
Epoch 4/15 - Train Loss: 0.8999, Train Acc: 0.1061 - Val Loss: 0.8999, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 0.9000, Train Acc: 0.1070 - Val Loss: 0.9001, Val Acc: 0.0958
Epoch 6/15 - Train Loss: 0.9001, Train Acc: 0.1072 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.9002, Train Acc: 0.1085 - Val Loss: 0.9000, Val Acc: 0.1032
Epoch 8/15 - Train Loss: 0.9000, Train Acc: 0.1066 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.9000, Train Acc: 0.1082 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.8998, Train Acc: 0.1109 - Val Loss: 0.8997, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.9000, Train Acc: 0.1095 - Val Loss: 0.9001, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 0.8999, Train Acc: 0.1094 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.8997, Train Acc: 0.1092 - Val Loss: 0.8997, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9001, Train Acc: 0.1090 - Val Loss: 0.9002, Val Acc: 0.0958
Epoch 15/15 - Train Loss: 0.9000, Train Acc: 0.1103 - Val Loss: 0.9001, Val Acc: 0.1135
