Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 128, 128, 128, 128, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9006, Train Acc: 0.1077 - Val Loss: 0.9006, Val Acc: 0.0958
Epoch 2/15 - Train Loss: 0.9003, Train Acc: 0.1059 - Val Loss: 0.9001, Val Acc: 0.1010
Epoch 3/15 - Train Loss: 0.9003, Train Acc: 0.1059 - Val Loss: 0.9002, Val Acc: 0.1010
Epoch 4/15 - Train Loss: 0.9006, Train Acc: 0.1062 - Val Loss: 0.9006, Val Acc: 0.1032
Epoch 5/15 - Train Loss: 0.9002, Train Acc: 0.1076 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.9005, Train Acc: 0.1058 - Val Loss: 0.9004, Val Acc: 0.1010
Epoch 7/15 - Train Loss: 0.9001, Train Acc: 0.1064 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.9002, Train Acc: 0.1066 - Val Loss: 0.9003, Val Acc: 0.1009
Epoch 9/15 - Train Loss: 0.9004, Train Acc: 0.1049 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.9003, Train Acc: 0.1081 - Val Loss: 0.9002, Val Acc: 0.0982
Epoch 11/15 - Train Loss: 0.9002, Train Acc: 0.1062 - Val Loss: 0.9001, Val Acc: 0.1010
Epoch 12/15 - Train Loss: 0.9000, Train Acc: 0.1063 - Val Loss: 0.8999, Val Acc: 0.1009
Epoch 13/15 - Train Loss: 0.9002, Train Acc: 0.1053 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9001, Train Acc: 0.1059 - Val Loss: 0.9001, Val Acc: 0.0982
Epoch 15/15 - Train Loss: 0.9006, Train Acc: 0.1050 - Val Loss: 0.9006, Val Acc: 0.0958
