Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [32, 64, 64, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9004, Train Acc: 0.1049 - Val Loss: 0.9004, Val Acc: 0.0982
Epoch 2/15 - Train Loss: 0.9002, Train Acc: 0.1062 - Val Loss: 0.9002, Val Acc: 0.0974
Epoch 3/15 - Train Loss: 0.9002, Train Acc: 0.1062 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.9000, Train Acc: 0.1080 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.9000, Train Acc: 0.1075 - Val Loss: 0.8999, Val Acc: 0.1010
Epoch 6/15 - Train Loss: 0.8998, Train Acc: 0.1081 - Val Loss: 0.8997, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.9001, Train Acc: 0.1082 - Val Loss: 0.9002, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 0.8998, Train Acc: 0.1099 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.8998, Train Acc: 0.1105 - Val Loss: 0.8998, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 0.9001, Train Acc: 0.1108 - Val Loss: 0.9000, Val Acc: 0.1009
Epoch 11/15 - Train Loss: 0.8998, Train Acc: 0.1101 - Val Loss: 0.8997, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.9000, Train Acc: 0.1096 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.8998, Train Acc: 0.1100 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.8999, Train Acc: 0.1101 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.8998, Train Acc: 0.1106 - Val Loss: 0.8999, Val Acc: 0.1135
