Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [128, 128, 32, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 1.8050, Train Acc: 0.0982 - Val Loss: 1.8052, Val Acc: 0.0974
Epoch 2/15 - Train Loss: 1.7753, Train Acc: 0.1079 - Val Loss: 1.7730, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 1.8014, Train Acc: 0.0996 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 4/15 - Train Loss: 1.7753, Train Acc: 0.1101 - Val Loss: 1.7730, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 1.8014, Train Acc: 0.1022 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 6/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 7/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 8/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 9/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 10/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 11/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 12/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 13/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 14/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
Epoch 15/15 - Train Loss: 1.8014, Train Acc: 0.0993 - Val Loss: 1.7936, Val Acc: 0.1032
