Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [128, 64, 128, 128, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9005, Train Acc: 0.1048 - Val Loss: 0.9005, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 0.9001, Train Acc: 0.1054 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 0.9003, Train Acc: 0.1062 - Val Loss: 0.9003, Val Acc: 0.1028
Epoch 4/15 - Train Loss: 0.9010, Train Acc: 0.1055 - Val Loss: 0.9010, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 0.9008, Train Acc: 0.1049 - Val Loss: 0.9007, Val Acc: 0.1010
Epoch 6/15 - Train Loss: 0.9001, Train Acc: 0.1035 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.9004, Train Acc: 0.1052 - Val Loss: 0.9004, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 0.9003, Train Acc: 0.1050 - Val Loss: 0.9001, Val Acc: 0.1032
Epoch 9/15 - Train Loss: 0.9003, Train Acc: 0.1038 - Val Loss: 0.9003, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.9004, Train Acc: 0.1068 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.8999, Train Acc: 0.1061 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.9002, Train Acc: 0.1057 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.9003, Train Acc: 0.1041 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9006, Train Acc: 0.1046 - Val Loss: 0.9006, Val Acc: 0.0974
Epoch 15/15 - Train Loss: 0.9003, Train Acc: 0.1071 - Val Loss: 0.9004, Val Acc: 0.1010
