Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [32, 32, 32, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3102, Train Acc: 0.1035 - Val Loss: 2.3103, Val Acc: 0.1009
Epoch 2/15 - Train Loss: 2.3048, Train Acc: 0.1044 - Val Loss: 2.3038, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3061, Train Acc: 0.1027 - Val Loss: 2.3069, Val Acc: 0.0980
Epoch 4/15 - Train Loss: 2.3086, Train Acc: 0.1060 - Val Loss: 2.3081, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3058, Train Acc: 0.1038 - Val Loss: 2.3055, Val Acc: 0.0982
Epoch 6/15 - Train Loss: 2.3052, Train Acc: 0.1037 - Val Loss: 2.3038, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3061, Train Acc: 0.1040 - Val Loss: 2.3060, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3052, Train Acc: 0.1066 - Val Loss: 2.3045, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3023, Train Acc: 0.1068 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3034, Train Acc: 0.1066 - Val Loss: 2.3041, Val Acc: 0.1028
Epoch 11/15 - Train Loss: 2.3028, Train Acc: 0.1053 - Val Loss: 2.3030, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3030, Train Acc: 0.1060 - Val Loss: 2.3034, Val Acc: 0.0980
Epoch 13/15 - Train Loss: 2.3037, Train Acc: 0.1054 - Val Loss: 2.3040, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3030, Train Acc: 0.1071 - Val Loss: 2.3030, Val Acc: 0.1009
Epoch 15/15 - Train Loss: 2.3027, Train Acc: 0.1074 - Val Loss: 2.3022, Val Acc: 0.1032
