Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [64, 32, 32, 32, 128, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3064, Train Acc: 0.1046 - Val Loss: 2.3058, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 2.3057, Train Acc: 0.1042 - Val Loss: 2.3058, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 2.3058, Train Acc: 0.1066 - Val Loss: 2.3050, Val Acc: 0.0980
Epoch 4/15 - Train Loss: 2.3028, Train Acc: 0.1050 - Val Loss: 2.3030, Val Acc: 0.0958
Epoch 5/15 - Train Loss: 2.3062, Train Acc: 0.1052 - Val Loss: 2.3045, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3110, Train Acc: 0.1054 - Val Loss: 2.3097, Val Acc: 0.0982
Epoch 7/15 - Train Loss: 2.3021, Train Acc: 0.1040 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3069, Train Acc: 0.1066 - Val Loss: 2.3083, Val Acc: 0.1028
Epoch 9/15 - Train Loss: 2.3048, Train Acc: 0.1053 - Val Loss: 2.3051, Val Acc: 0.1009
Epoch 10/15 - Train Loss: 2.3068, Train Acc: 0.1045 - Val Loss: 2.3058, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3060, Train Acc: 0.1047 - Val Loss: 2.3064, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3030, Train Acc: 0.1065 - Val Loss: 2.3037, Val Acc: 0.0980
Epoch 13/15 - Train Loss: 2.3046, Train Acc: 0.1047 - Val Loss: 2.3045, Val Acc: 0.0980
Epoch 14/15 - Train Loss: 2.3039, Train Acc: 0.1071 - Val Loss: 2.3041, Val Acc: 0.1028
Epoch 15/15 - Train Loss: 2.3047, Train Acc: 0.1049 - Val Loss: 2.3040, Val Acc: 0.0982
