Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [32, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.1545, Train Acc: 0.7670 - Val Loss: 0.1500, Val Acc: 0.9102
Epoch 2/15 - Train Loss: 0.1411, Train Acc: 0.9000 - Val Loss: 0.1403, Val Acc: 0.9175
Epoch 3/15 - Train Loss: 0.7330, Train Acc: 0.8928 - Val Loss: 0.7467, Val Acc: 0.6207
Epoch 4/15 - Train Loss: 1.2782, Train Acc: 0.5997 - Val Loss: 1.2926, Val Acc: 0.3531
Epoch 5/15 - Train Loss: 1.8193, Train Acc: 0.1829 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 6/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 7/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 8/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 9/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 10/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 11/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 12/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 13/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 14/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
Epoch 15/15 - Train Loss: 1.8193, Train Acc: 0.0903 - Val Loss: 1.8216, Val Acc: 0.0892
