Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 32, 32, 128, 64, 128]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3024, Train Acc: 0.1078 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3023, Train Acc: 0.1076 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3020, Train Acc: 0.1072 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3042, Train Acc: 0.1087 - Val Loss: 2.3043, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3031, Train Acc: 0.1086 - Val Loss: 2.3025, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3045, Train Acc: 0.1091 - Val Loss: 2.3047, Val Acc: 0.1010
Epoch 7/15 - Train Loss: 2.3028, Train Acc: 0.1071 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3034, Train Acc: 0.1075 - Val Loss: 2.3031, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3042, Train Acc: 0.1101 - Val Loss: 2.3033, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3026, Train Acc: 0.1081 - Val Loss: 2.3023, Val Acc: 0.1032
Epoch 11/15 - Train Loss: 2.3022, Train Acc: 0.1075 - Val Loss: 2.3024, Val Acc: 0.0980
Epoch 12/15 - Train Loss: 2.3026, Train Acc: 0.1087 - Val Loss: 2.3026, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3021, Train Acc: 0.1088 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3077, Train Acc: 0.1081 - Val Loss: 2.3078, Val Acc: 0.0974
Epoch 15/15 - Train Loss: 2.3020, Train Acc: 0.1081 - Val Loss: 2.3015, Val Acc: 0.1135
