Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 128, 64, 128, 64, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 2.3071, Train Acc: 0.1044 - Val Loss: 2.3062, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 2.3022, Train Acc: 0.1098 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3014, Train Acc: 0.1124 - Val Loss: 2.3011, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
