Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [64, 128, 32, 64]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9006, Train Acc: 0.1074 - Val Loss: 0.9007, Val Acc: 0.0980
Epoch 2/15 - Train Loss: 0.9001, Train Acc: 0.1069 - Val Loss: 0.9002, Val Acc: 0.0958
Epoch 3/15 - Train Loss: 0.9002, Train Acc: 0.1075 - Val Loss: 0.9001, Val Acc: 0.0982
Epoch 4/15 - Train Loss: 0.9003, Train Acc: 0.1076 - Val Loss: 0.9003, Val Acc: 0.1010
Epoch 5/15 - Train Loss: 0.8999, Train Acc: 0.1069 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.9000, Train Acc: 0.1051 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 0.9000, Train Acc: 0.1055 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.8999, Train Acc: 0.1079 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 0.9004, Train Acc: 0.1074 - Val Loss: 0.9004, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.9002, Train Acc: 0.1060 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.9004, Train Acc: 0.1091 - Val Loss: 0.9004, Val Acc: 0.1028
Epoch 12/15 - Train Loss: 0.9000, Train Acc: 0.1083 - Val Loss: 0.9000, Val Acc: 0.0974
Epoch 13/15 - Train Loss: 0.9000, Train Acc: 0.1069 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9001, Train Acc: 0.1067 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.8999, Train Acc: 0.1067 - Val Loss: 0.8999, Val Acc: 0.1135
