Loading mnist dataset
Initializing Neural Network with 5 hidden layers and hidden sizes [64, 32, 128, 32, 32]
Loaded previous global best accuracy: 0.9799
Starting training
Epoch 1/15 - Train Loss: 0.9003, Train Acc: 0.1064 - Val Loss: 0.9003, Val Acc: 0.0974
Epoch 2/15 - Train Loss: 0.9003, Train Acc: 0.1082 - Val Loss: 0.9005, Val Acc: 0.1010
Epoch 3/15 - Train Loss: 0.9000, Train Acc: 0.1077 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.9004, Train Acc: 0.1066 - Val Loss: 0.9004, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 0.9003, Train Acc: 0.1072 - Val Loss: 0.9003, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.9005, Train Acc: 0.1083 - Val Loss: 0.9005, Val Acc: 0.1028
Epoch 7/15 - Train Loss: 0.9000, Train Acc: 0.1077 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.9000, Train Acc: 0.1074 - Val Loss: 0.9001, Val Acc: 0.1028
Epoch 9/15 - Train Loss: 0.9002, Train Acc: 0.1061 - Val Loss: 0.9003, Val Acc: 0.1010
Epoch 10/15 - Train Loss: 0.8999, Train Acc: 0.1085 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.8998, Train Acc: 0.1083 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.9000, Train Acc: 0.1064 - Val Loss: 0.8999, Val Acc: 0.1032
Epoch 13/15 - Train Loss: 0.9002, Train Acc: 0.1062 - Val Loss: 0.9003, Val Acc: 0.1028
Epoch 14/15 - Train Loss: 0.9001, Train Acc: 0.1060 - Val Loss: 0.9001, Val Acc: 0.1028
Epoch 15/15 - Train Loss: 0.8999, Train Acc: 0.1056 - Val Loss: 0.8998, Val Acc: 0.1135
