Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [64, 32, 32, 32]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 2.3022, Train Acc: 0.1088 - Val Loss: 2.3020, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 2.3027, Train Acc: 0.1098 - Val Loss: 2.3025, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 2.3016, Train Acc: 0.1095 - Val Loss: 2.3013, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3023, Train Acc: 0.1101 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3028, Train Acc: 0.1106 - Val Loss: 2.3027, Val Acc: 0.1010
Epoch 6/15 - Train Loss: 2.3018, Train Acc: 0.1101 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3021, Train Acc: 0.1081 - Val Loss: 2.3020, Val Acc: 0.1010
Epoch 8/15 - Train Loss: 2.3024, Train Acc: 0.1086 - Val Loss: 2.3022, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3021, Train Acc: 0.1108 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3020, Train Acc: 0.1097 - Val Loss: 2.3020, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3018, Train Acc: 0.1119 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3016, Train Acc: 0.1108 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3024, Train Acc: 0.1101 - Val Loss: 2.3018, Val Acc: 0.1032
Epoch 14/15 - Train Loss: 2.3025, Train Acc: 0.1105 - Val Loss: 2.3027, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3023, Train Acc: 0.1095 - Val Loss: 2.3023, Val Acc: 0.1135
