Loading mnist dataset
Initializing Neural Network with 1 hidden layers and hidden sizes [64]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 2.3026, Train Acc: 0.1051 - Val Loss: 2.3024, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3022, Train Acc: 0.1124 - Val Loss: 2.3020, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3018, Train Acc: 0.1124 - Val Loss: 2.3017, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3016, Train Acc: 0.1124 - Val Loss: 2.3014, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3014, Train Acc: 0.1124 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3012, Train Acc: 0.1124 - Val Loss: 2.3010, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3010, Train Acc: 0.1124 - Val Loss: 2.3009, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3009, Train Acc: 0.1124 - Val Loss: 2.3008, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3008, Train Acc: 0.1124 - Val Loss: 2.3006, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3007, Train Acc: 0.1124 - Val Loss: 2.3005, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3006, Train Acc: 0.1124 - Val Loss: 2.3004, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3005, Train Acc: 0.1124 - Val Loss: 2.3003, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3004, Train Acc: 0.1124 - Val Loss: 2.3002, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3003, Train Acc: 0.1124 - Val Loss: 2.3001, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3002, Train Acc: 0.1124 - Val Loss: 2.3000, Val Acc: 0.1135
