Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 128, 128, 128, 32, 64]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 0.9001, Train Acc: 0.1072 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 0.9002, Train Acc: 0.1100 - Val Loss: 0.9003, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 0.9002, Train Acc: 0.1071 - Val Loss: 0.9001, Val Acc: 0.1032
Epoch 4/15 - Train Loss: 0.8999, Train Acc: 0.1070 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 0.9002, Train Acc: 0.1064 - Val Loss: 0.9001, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.9003, Train Acc: 0.1076 - Val Loss: 0.9004, Val Acc: 0.0974
Epoch 7/15 - Train Loss: 0.9004, Train Acc: 0.1063 - Val Loss: 0.9003, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 0.9002, Train Acc: 0.1071 - Val Loss: 0.9002, Val Acc: 0.1009
Epoch 9/15 - Train Loss: 0.9000, Train Acc: 0.1075 - Val Loss: 0.9000, Val Acc: 0.1009
Epoch 10/15 - Train Loss: 0.9000, Train Acc: 0.1076 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 0.9000, Train Acc: 0.1079 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.9001, Train Acc: 0.1093 - Val Loss: 0.9001, Val Acc: 0.1010
Epoch 13/15 - Train Loss: 0.8999, Train Acc: 0.1086 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9002, Train Acc: 0.1086 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.9000, Train Acc: 0.1093 - Val Loss: 0.8999, Val Acc: 0.1028
